COICOP Class level item,Energy Intensity,Energy Intensity Group,COICOP Number,CDID_val,CDID_wgt
07.3.2 : PASSENGER TRANSPORT BY ROAD ,7.10%,Very high,07.3.2 ,D7IS,CJXV
07.3.3 : PASSENGER TRANSPORT BY AIR ,11.40%,Very high,07.3.3 ,D7IT,CJXW
07.3.4 : PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY ,3.50%,Very high,07.3.4 ,D7IU,CJXX
09.3.3 : GARDEN PLANTS AND FLOWERS ,4.40%,Very high,09.3.3 ,D7J7,CJYI
11.1.1 : RESTAURANTS & CAFES ,2.60%,Very high,11.1.1 ,D7JA,CJYL
11.1.2 : CANTEENS ,2.60%,Very high,11.1.2 ,D7JB,CJYM
11.2 : ACCOMMODATION SERVICES ,3.10%,Very high,11.2,D7HB,CJVV
03.1.2 : GARMENTS ,0.30%,Very low,03.1.2 ,D7HW,CJWR
03.1.3 :OTHER ARTICLES OF CLOTHING & ACCESSORIES ,0.70%,Very low,03.1.3 ,D7HX,CJWS
03.2 : FOOTWEAR INCLUDING REPAIRS ,0.30%,Very low,3.2,D7GP,CJVB
05.3.1 : MAJOR HH APPLIANCES & SMALL ELECTRICAL HH APPLIANCES ,0.90%,Very low,05.3.1 ,D7IF,CJXI
07.1.2 : MOTOR CYCLES AND BICYCLES ,0.80%,Very low,07.1.2 ,D7IM,CJXP
09.1.1 : EQUIPMENT FOR SOUND & PICTUR ,0.50%,Very low,09.1.1 ,D7IZ,CJYC
"09.1.2 : PHOTOGRAPHIC, CINEMATOGRAPHIC & OPTICAL EQUIPMENT ",0.50%,Very low,09.1.2 ,D7J2,CJYD
09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION ,0.90%,Very low,09.3.2 ,D7NY,ICVQ
09.5.1 : BOOKS ,0.60%,Very low,09.5.1 ,D7O4,ICVU
09.5.2 : NEWSPAPERS AND PERIODICALS ,0.60%,Very low,09.5.2 ,D7O5,ICVV
09.6 : PACKAGE HOLIDAY ,0.00%,Very low,9.6,D7O7,ICVX
10 : EDUCATION- estimated pre-97 ,1.00%,Very low,10,D7GH,CJUU
12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABS ,0.80%,Very low,12.1.1 ,D7JC,CJYN
12.3.1 : JEWELLERY CLOCKS AND WATCHES ,0.80%,Very low,12.3.1 ,D7O9,ICVZ
12.5.2 : INSURANCE CONNECTED WITH THE DWELLING ,0.20%,Very low,12.5.2 ,D7JE,CJYP
12.5.3 : INSURANCE CONNECTED WITH HEALTH: ,0.20%,Very low,12.5.3 ,D7OD,JKWP
12.5.4 : INSURANCE CONNECTED WITH TRANSPORT ,0.20%,Very low,12.5.4 ,D7JF,CJYQ
12.6.2 : FINANCIAL SERVICES N.E.C. ,0.70%,Very low,12.6.2 ,D7HD,CJYK
12.7 : OTHER SERVICES NEC ,0.80%,Very low,12.7,D7OB,ICVY
